spot,strike,volatility,rate,expiry,price,bs_price
92.8505,82.8323,0.398566,0.0387675,0.51274,16.7415,16.7597
88.7492,109.48,0.161855,0.03772,1.47941,2.33607,2.33113
101.905,91.764,0.303018,0.0238838,1.10097,19.3351,19.3447
107.598,101.848,0.158282,0.0191815,0.143773,6.58425,6.59248
110.953,106.276,0.281895,0.0490262,1.38401,20.4211,20.429
82.6333,97.8054,0.413072,0.0306198,1.7304,14.1164,14.1288
82.2383,98.5251,0.359908,0.0298842,0.716827,5.14288,5.14921
105.72,114.453,0.127899,0.0470805,1.85462,7.73825,7.73361
118.84,94.5278,0.448345,0.019519,0.173761,25.6274,25.645
85.1293,103.144,0.174919,0.0121081,0.164746,0.00775278,0.00762671
84.6479,103.473,0.330344,0.0405539,0.444138,2.32011,2.31769
104.57,114.631,0.237771,0.0456981,0.812131,6.51875,6.5269
95.8479,83.7437,0.155975,0.016134,0.832107,14.1785,14.1903
95.0513,88.6569,0.279996,0.0241549,1.63487,18.2425,18.3025
113.74,84.3889,0.250703,0.0325172,1.67703,35.9659,35.9892
88.421,80.6894,0.268263,0.0429318,0.138806,8.95008,8.94559
119.974,90.7366,0.199766,0.0107959,0.985208,30.839,30.8516
116.787,88.21,0.343653,0.040643,0.711658,33.2134,33.1978
101.977,101.286,0.469041,0.0400356,0.380199,12.7651,12.7414
110.417,117.425,0.176347,0.0342913,1.08522,6.89365,6.89258
108.101,103.928,0.49895,0.031631,1.80442,32.4038,32.3068
97.4409,94.8421,0.345011,0.0184154,0.255634,8.31058,8.29848
96.841,102.839,0.292785,0.041472,1.85425,15.9977,15.9944
117.634,107.473,0.467113,0.0299009,0.32382,18.2323,18.2676
82.1285,113.136,0.367589,0.0102033,1.91907,8.17473,8.18227
82.1034,92.682,0.324753,0.0138987,0.709964,5.39443,5.39332
92.3858,89.0614,0.490739,0.0435733,1.48839,25.4594,25.4378
95.4461,117.072,0.301852,0.0116081,1.56408,7.90331,7.83755
88.3192,97.8883,0.325928,0.0479172,1.56457,13.2603,13.2512
93.4077,88.74,0.211034,0.0157565,1.64916,13.577,13.5544
91.3664,83.0193,0.140616,0.0187971,1.35874,12.297,12.3168
96.1155,108.026,0.37506,0.0356073,1.78405,16.9752,17.0078
104.302,108.173,0.368023,0.0344012,0.886715,14.0753,14.0825
111.345,117.807,0.246364,0.0199279,0.896892,8.5047,8.49904
93.3781,107.609,0.300252,0.0282674,0.843784,6.02991,6.00948
106.493,96.1557,0.365314,0.0159331,1.25948,23.1235,23.1336
90.4007,92.5482,0.498619,0.0420849,1.78029,25.3328,25.3004
114.515,86.7283,0.212976,0.0166538,1.02285,30.0421,30.0825
93.3023,83.0738,0.431872,0.0480191,0.586844,18.7429,18.7621
93.7248,117.846,0.126587,0.0169366,0.958681,0.224553,0.226512
119.282,109.59,0.357039,0.0119526,0.660861,19.0297,19.0911
112.69,104.493,0.120471,0.0151443,0.420397,9.50816,9.50083
90.789,119.091,0.271634,0.0112268,1.3799,3.91302,3.91518
108.362,110.793,0.494757,0.0160549,1.40763,25.0295,25.0337
117.776,104.419,0.361998,0.0363683,0.29658,17.7614,17.762
85.1212,100.259,0.1721,0.0356338,1.63162,4.01969,4.012
103.605,89.0091,0.406194,0.0214688,1.87737,31.0127,30.9683
